Claim_ID,Bind_Date1,Customer_Life_Value1,Age_Insured,Policy_Num,Policy_State,Policy_Start_Date,Policy_Expiry_Date,Policy_BI,Policy_Ded,Policy_Premium,Umbrella_Limit,Insured_Zip,Gender,Education,Occupation,Hobbies,Insured_Relationship,Capital_Gains,Capital_Loss,Garage_Location,Accident_Date,Accident_Type,Collision_Type,Accident_Severity,authorities_contacted,Acccident_State,Acccident_City,Accident_Location,Accident_Hour,Num_of_Vehicles_Involved,Property_Damage,Bodily_Injuries,Witnesses,Police_Report,DL_Expiry_Date,Claims_Date,Auto_Make,Auto_Model,Auto_Year,Vehicle_Color,Vehicle_Cost,Annual_Mileage,DiffIN_Mileage,Low_Mileage_Discount,Fraud_Ind,Commute_Discount,Total_Claim,Injury_Claim,Property_Claim,Vehicle_Claim,Vehicle_Registration,Check_Point
BB00005001,3/1/2022,22,32,159331373,OH,11/2/2023,5/2/2024,250/500,2000,1624.82,0,454656,MALE,PhD,exec-managerial,basketball,unmarried,65300,-65600,No,2/9/2024,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,Northbend,4965 MLK Drive,16,1,Unknown,1,1,,1/30/2026,2/10/2024,BMW,3 Series,2015,Black,5723.34,9468,6851,0,N,0,10132.58,3455.23,2021.64,4655.71,WP58L3608,No
BB00005002,12/1/2022,13,34,137113781,IN,9/30/2023,3/31/2024,250/500,500,1737.66,0,470577,MALE,Associate,transport-moving,chess,unmarried,0,-24100,No,1/1/2024,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,5719 2nd Lane,1,1,Unknown,1,1,,9/20/2025,1/6/2024,BMW,X5,2019,Black,22970.48,12407,4696,0,Y,0,5603.18,236.79,1846.79,3519.6,UR12I4476,No
BB00005003,5/1/2022,20,29,176890509,OH,10/1/2023,4/1/2024,500/1000,1000,1878.44,0,450746,MALE,High School,other-service,golf,husband,0,-76000,No,2/20/2024,Single Vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,9169 Cherokee Hwy,2,1,NO,0,0,,6/19/2025,2/25/2024,Chevrolet,Malibu,2017,Red,7677.33,6710,6235,1,N,0,12436.44,7749.09,4560.9,126.45,HP66C4859,No
BB00005004,2/1/2022,23,52,145849195,IL,10/30/2023,4/30/2024,250/500,1000,1242.96,7000000,449800,FEMALE,High School,other-service,paintball,own-child,0,-37100,No,2/22/2024,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Riverwood,5838 Pine Lane,2,2,YES,2,0,,9/10/2025,2/27/2024,Accura,RSX,2019,Black,11737.81,6535,4376,1,N,0,15275.17,13128.19,259.01,1887.97,GV56V2704,No
BB00005005,8/1/2022,17,37,151730439,OH,8/15/2023,2/15/2024,100/300,500,1080.13,0,606290,MALE,Associate,protective-serv,reading,other-relative,0,-61000,No,1/4/2024,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,PA,Springfield,5778 Pine Ridge,15,3,YES,0,3,NO,9/30/2025,1/9/2024,Nissan,Pathfinder,2019,Silver,10262.61,13354,4353,0,N,0,19499.17,7052.56,1718.73,10727.88,QU88W0112,No
BB00005006,4/1/2022,21,36,135109736,IL,10/19/2023,4/19/2024,250/500,2000,1313.51,7000000,600904,FEMALE,Masters,exec-managerial,dancing,own-child,68500,0,No,2/3/2024,Vehicle Theft,Unknown,Trivial Damage,,SC,Northbrook,8864 Tree Ridge,9,1,Unknown,2,0,,6/19/2025,2/5/2024,Volkswagen,Passat,2024,Gray,23717.53,8611,2792,0,N,0,16979.12,6789.43,3177.52,7012.17,FW25E3094,No
BB00005007,12/1/2022,13,30,186486766,OH,9/23/2023,3/23/2024,500/1000,500,1757.21,0,477695,MALE,High School,prof-specialty,base-jumping,wife,46400,0,No,2/2/2024,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Northbend,1589 Pine St,12,3,NO,1,0,YES,4/6/2026,2/7/2024,Ford,F150,2016,Blue,7305.73,9091,2495,0,N,0,7694.5,6441.59,326.42,926.49,WA97E7823,No
BB00005008,12/1/2022,13,48,124196894,OH,9/9/2023,3/9/2024,250/500,1000,1406.91,0,466132,MALE,MD,craft-repair,sleeping,husband,53300,0,No,1/25/2024,Single Vehicle Collision,Side Collision,Major Damage,Police,SC,Columbus,9935 4th Drive,5,1,YES,1,2,YES,1/17/2026,1/29/2024,Saab,92x,2016,Gray,4927.88,14246,2513,0,Y,0,8763.47,4140.56,622.46,4000.45,DZ12F2793,No
BB00005009,12/1/2022,13,35,155203481,IN,10/12/2023,4/12/2024,500/1000,2000,1123.89,0,468313,MALE,MD,priv-house-serv,video-games,unmarried,35400,-49200,No,1/21/2024,Multi-vehicle Collision,Front Collision,Total Loss,Fire,NY,Columbus,4119 Texas St,0,3,Unknown,1,3,,3/31/2026,1/23/2024,Suburu,Forrestor,2024,Gray,22920.66,13800,3973,0,N,0,5900.92,2876.5,162.28,2862.14,GE72W8203,No
BB00005010,8/1/2022,17,40,180782065,IN,9/25/2023,3/25/2024,500/1000,500,885.08,0,459984,FEMALE,Masters,armed-forces,skydiving,other-relative,27000,-58900,No,2/6/2024,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbend,4098 Weaver Ridge,0,1,YES,0,1,NO,6/7/2025,2/8/2024,Chevrolet,Malibu,2022,Red,17845.69,16664,5579,0,N,0,8222.05,3799.86,448.14,3974.05,WR69B1350,No
